SLURM_JOB_ID = 14272968
SLURM JOBID: 14272968
SLURM JOBID: 14272968
== jobstats: running vmstat in background to monitor cpu usage and memory stats
== jobstats: running vmstat in background to monitor cpu usage and memory stats
Number of nodes of list (body:0) 1049 
Number of element of list(body:0) 1984 
Number of ghost nodes 112
Number of nodes of list (body:1) 1049 
Number of element of list(body:1) 1984 
Number of ghost nodes 112
Number of nodes of list (body:2) 1049 
Number of element of list(body:2) 1984 
Number of ghost nodes 112
Fung learning rate file successfully has being read
dir = ../lr_100_init_10_se_fiber_un_fung
Inverse model initialized
Residual smoothing option has being selected
dir = ../lr_100_init_10_se_fiber_un_fung
Inverse model initialized
Residual smoothing option has being selected
dir = ../lr_100_init_10_se_fiber_un_fung
Inverse model initialized
Residual smoothing option has being selected
Spatially Uniform Jacobian
Spatially Uniform Jacobian
Spatially Uniform Jacobian
Epoch 10203, Average Loss: 0.0000003042, body: 0, theta: -0.800960
Epoch 10204, Average Loss: 0.0000003041, body: 0, theta: -0.803671
Epoch 10205, Average Loss: 0.0000003043, body: 0, theta: -0.804608
Epoch 10206, Average Loss: 0.0000003046, body: 0, theta: -0.803813
Epoch 10207, Average Loss: 0.0000003046, body: 0, theta: -0.802798
Epoch 10208, Average Loss: 0.0000003047, body: 0, theta: -0.802984
Epoch 10209, Average Loss: 0.0000003041, body: 0, theta: -0.804389
Epoch 10210, Average Loss: 0.0000003034, body: 0, theta: -0.805809
Epoch 10211, Average Loss: 0.0000003028, body: 0, theta: -0.806120
Epoch 10212, Average Loss: 0.0000003021, body: 0, theta: -0.805330
Epoch 10213, Average Loss: 0.0000003015, body: 0, theta: -0.804393
Epoch 10214, Average Loss: 0.0000003012, body: 0, theta: -0.804185
Epoch 10215, Average Loss: 0.0000003007, body: 0, theta: -0.804688
Epoch 10216, Average Loss: 0.0000003002, body: 0, theta: -0.805094
Epoch 10217, Average Loss: 0.0000002999, body: 0, theta: -0.804661
Epoch 10218, Average Loss: 0.0000003000, body: 0, theta: -0.803478
Epoch 10219, Average Loss: 0.0000003001, body: 0, theta: -0.802377
Epoch 10220, Average Loss: 0.0000003000, body: 0, theta: -0.802066
Epoch 10221, Average Loss: 0.0000002999, body: 0, theta: -0.802420
Epoch 10222, Average Loss: 0.0000002998, body: 0, theta: -0.802659
