CPU_MEM_TOTAL: 394153260
CPUS_ON_NODE: 48
CPUS_ON_NODE: 48
REQUESTED_CPUS: 1
REQUESTED_CPUS: 1
REQUESTED_NODES 1
REQUESTED_NODES 1
NODE_NAME: c696
NODE_NAME: c696
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0   5964 372384896   5060 5081596    0    0     1     2    0    0 35  1 63  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0   5964 372422560   5060 5364764    0    0     0     0 11526  499 23  0 77  0  0
11  0   5964 372422560   5060 5364764    0    0     0     0 11526  499 23  0 77  0  0
12  0   5964 372420032   5060 5366708    0    0     0     0 11677  759 23  0 77  0  0
11  0   5964 372420032   5060 5366708    0    0     0     0 11677  759 23  0 77  0  0
12  0   5964 372418496   5060 5368128    0    0     0    19 11537  483 23  0 77  0  0
11  0   5964 372418496   5060 5368128    0    0     0    19 11537  483 23  0 77  0  0
12  0   5964 372414976   5060 5371488    0    0     0   966 11515  506 23  0 77  0  0
11  0   5964 372414976   5060 5371488    0    0     0   966 11515  506 23  0 77  0  0
12  0   5964 372409728   5060 5374852    0    0     0     0 11537  548 23  0 77  0  0
11  0   5964 372409728   5060 5374852    0    0     0     0 11537  548 23  0 77  0  0
12  0   5964 372406080   5060 5378216    0    0     0     6 11591  500 23  0 77  0  0
11  0   5964 372406080   5060 5378216    0    0     0     6 11591  500 23  0 77  0  0
12  0   5964 372402560   5060 5381580    0    0     0     0 11483  451 23  0 77  0  0
11  0   5964 372402560   5060 5381580    0    0     0     0 11483  451 23  0 77  0  0
12  0   5964 372390720   5060 5384948    0    0     0 11623 10932  957 21  0 79  0  0
11  0   5964 372390720   5060 5384948    0    0     0 11623 10932  957 21  0 79  0  0
12  0   5964 372383040   5060 5388308    0    0     0     4 11515  463 23  0 77  0  0
11  0   5964 372383040   5060 5388308    0    0     0     4 11515  463 23  0 77  0  0
12  0   5964 372379488   5060 5391676    0    0     0     0 11497  460 23  0 77  0  0
11  0   5964 372379488   5060 5391676    0    0     0     0 11497  460 23  0 77  0  0
12  0   5964 372379168   5060 5391680    0    0     0     0 11556  454 23  0 77  0  0
11  0   5964 372379168   5060 5391680    0    0     0     0 11556  454 23  0 77  0  0
12  0   5964 372375456   5060 5395036    0    0     0     9 11537  491 23  0 77  0  0
11  0   5964 372375456   5060 5395036    0    0     0     9 11537  491 23  0 77  0  0
12  0   5964 372369952   5060 5398392    0    0     0     0 11505  452 23  0 77  0  0
11  0   5964 372369952   5060 5398392    0    0     0     0 11505  452 23  0 77  0  0
12  0   5964 372365888   5060 5401748    0    0     0     0 11652  724 23  0 77  0  0
11  0   5964 372365888   5060 5401748    0    0     0     0 11652  724 23  0 77  0  0
12  0   5964 372360544   5060 5402948    0    0     0   967 11487  503 23  0 77  0  0
11  0   5964 372360544   5060 5402948    0    0     0   967 11487  503 23  0 77  0  0
12  0   5964 372358176   5060 5405120    0    0     0     0 11466  443 23  0 77  0  0
11  0   5964 372358176   5060 5405120    0    0     0     0 11466  443 23  0 77  0  0
12  0   5964 372354752   5060 5408480    0    0     0     0 11522  495 23  0 77  0  0
11  0   5964 372354752   5060 5408480    0    0     0     0 11522  495 23  0 77  0  0
12  0   5964 372347232   5060 5411840    0    0     0 11631 10734  709 21  0 79  0  0
11  0   5964 372347232   5060 5411840    0    0     0 11631 10734  709 21  0 79  0  0
12  0   5964 372343648   5060 5415196    0    0     0     0 11427  482 23  0 77  0  0
11  0   5964 372343648   5060 5415196    0    0     0     0 11427  482 23  0 77  0  0
12  0   5964 372340096   5060 5418552    0    0     0     0 11586  773 23  0 77  0  0
11  0   5964 372340096   5060 5418552    0    0     0     0 11586  773 23  0 77  0  0
12  0   5964 372336512   5060 5421912    0    0     0     7 11399  484 23  0 77  0  0
11  0   5964 372336512   5060 5421912    0    0     0     7 11399  484 23  0 77  0  0
12  0   5964 372332960   5060 5425264    0    0     0     0 11418  498 23  0 77  0  0
11  0   5964 372332960   5060 5425264    0    0     0     0 11418  498 23  0 77  0  0
12  0   5964 372332800   5060 5425268    0    0     0     0 11439  481 23  0 77  0  0
11  0   5964 372332800   5060 5425268    0    0     0     0 11439  481 23  0 77  0  0
12  0   5964 372329088   5060 5428620    0    0     0   972 11480  512 23  0 77  0  0
11  0   5964 372329088   5060 5428620    0    0     0   972 11480  512 23  0 77  0  0
12  0   5964 372325568   5060 5431976    0    0     0     0 11505  556 23  0 77  0  0
11  0   5964 372325568   5060 5431976    0    0     0     0 11505  556 23  0 77  0  0
12  0   5964 372322048   5060 5435344    0    0     0 11623 12292 3186 23  0 77  0  0
12  0   5964 372322048   5060 5435344    0    0     0 11623 12292 3186 23  0 77  0  0
12  0   5964 372416832   5060 5336824    0    0     0     6 10725  612 21  0 79  0  0
11  0   5964 372416832   5060 5336824    0    0     0     6 10725  612 21  0 79  0  0
12  0   5964 372414944   5060 5338628    0    0     0     0 11545  498 23  0 77  0  0
11  0   5964 372414944   5060 5338628    0    0     0     0 11545  498 23  0 77  0  0
12  0   5964 372413728   5060 5340180    0    0     0     0 11543  496 23  0 77  0  0
11  0   5964 372413728   5060 5340180    0    0     0     0 11543  496 23  0 77  0  0
12  0   5964 372410400   5060 5343548    0    0     0    11 11527  493 23  0 77  0  0
11  0   5964 372410400   5060 5343548    0    0     0    11 11527  493 23  0 77  0  0
11  0   5964 374811776   5060 5347000    0    0     0     1 10974  535 22  0 78  0  0
10  0   5964 374811776   5060 5347000    0    0     0     1 10974  535 22  0 78  0  0
11  0   5964 374808640   5060 5350352    0    0     0     0 10658  740 21  0 79  0  0
10  0   5964 374808640   5060 5350352    0    0     0     0 10658  740 21  0 79  0  0
11  0   5964 374804640   5060 5354376    0    0     0   967 10484  481 21  0 79  0  0
10  0   5964 374804640   5060 5354376    0    0     0   967 10484  481 21  0 79  0  0
10  0   5964 374801216   5060 5357832    0    0     0     0 10370  429 21  0 79  0  0
 9  0   5964 374801216   5060 5357832    0    0     0     0 10370  429 21  0 79  0  0
11  0   5964 374798816   5060 5358052    0    0     0 11623 10448  797 20  0 79  0  0
10  0   5964 374798816   5060 5358052    0    0     0 11623 10448  797 20  0 79  0  0
11  0   5964 374795456   5060 5361404    0    0     0    18 10500  483 21  0 79  0  0
